Video URL,Title,Description,Channel Title,Keywords,Category,Topic Details,Published Date,Duration,Views,Comment Count,Captions Available,Location
https://www.youtube.com/watch?v=09tCNsSRE3U&pp=ygUFbXVzaWM%3D,"Dhop - Lyrical | Game Changer | Ram Charan, Kiara Advani | Thaman S | Shankar","For more latest songs & videos, subscribe 👉 ",Saregama Telugu,"Ram Charan, Game Changer, Kiara Advani, Shankar, Thaman S, Game Changer movie, Ram Charan new movie, Telugu movie songs 2024, Dhop lyrical video, Ram Charan Kiara Advani, Thaman S music, Ram Charan songs, latest Telugu songs, Saregama Telugu, Game Changer Telugu movie, trending Telugu songs, Shankar direction, Telugu dance songs, Ram Charan fans, Ram Charan Thaman combo, Game Changer update, dhop song, dhop song Gamechanger",10,"['Ram Charan', 'Game Changer', 'Kiara Advani', 'Shankar', 'Thaman S', 'Game Changer movie', 'Ram Charan new movie', 'Telugu movie songs 2024', 'Dhop lyrical video', 'Ram Charan Kiara Advani', 'Thaman S music', 'Ram Charan songs', 'latest Telugu songs', 'Saregama Telugu', 'Game Changer Telugu movie', 'trending Telugu songs', 'Shankar direction', 'Telugu dance songs', 'Ram Charan fans', 'Ram Charan Thaman combo', 'Game Changer update', 'dhop song', 'dhop song Gamechanger']",2024-12-22T04:22:32Z,5:03,17470805,11239,false,
https://www.youtube.com/watch?v=dvWdFMCC1-I&pp=ygUFbXVzaWM%3D,"Lubber Pandhu - Chillanjirukkiye Video Song | Harish Kalyan, Attakathi Dinesh | Sean Roldan","Presenting the Official video song of “Chilanchirukiye “ from LUBBER PANDHU  sung by Pradeep Kumar & Shivangi lyrics written by Mohan Rajan 

Movie : Lubber Pandhu ",Sony Music South,"Sony Music South, Sony Music, Latest Song, Tamil song, Tamil Latest Song, Tamil Latest Songs 2023, Latest songs in Tamil, Songs in Tamil, Latest Tamil Movies, Tamil Movie Songs, Latest Video Songs Tamil, latest Tamil Love Songs, Latest Tamil Hit Songs, Telugu Songs 2023, Songs in Telugu, Telugu Movie Songs, Video Songs Telugu, new Telugu Songs",10,"['Sony Music South', 'Sony Music', 'Latest Song', 'Tamil song', 'Tamil Latest Song', 'Tamil Latest Songs 2023', 'Latest songs in Tamil', 'Songs in Tamil', 'Latest Tamil Movies', 'Tamil Movie Songs', 'Latest Video Songs Tamil', 'latest Tamil Love Songs', 'Latest Tamil Hit Songs', 'Telugu Songs 2023', 'Songs in Telugu', 'Telugu Movie Songs', 'Video Songs Telugu', 'new Telugu Songs']",2024-09-17T06:30:07Z,4:07,28118773,2705,false,
https://www.youtube.com/watch?v=ZBQ_TID-ry4&pp=ygUFbXVzaWM%3D,Adharam Madhuram Lofi - Krishna Bhajan | Bhakti Song | Bhajan Song | Madhurashtakam,"Adharam Madhuram Lofi - Krishna Bhajan | Bhakti Song | Bhajan Song | Madhurashtakam

🔔 आप सभी भक्तों से अनुरोध है कि आप ",Nova Bhajan Kirtan,"adharam madhuram, madhuram madhuram song, madhurashtakam, adharam madhuram song, krishna bhajan, madhuram madhuram, maduram maduram radha krishna song, adharam madhuram vadanam madhuram, bhajan, kanha ji ke bhajan, bajan, krishna ji ke bhajan, bhajan songs, भजन, kanha bhajan, krishna song, bhajan krishna, bhakti song, krishna songs, bhajan song, bhakti, krishna, kanha, kanha ji, kanha song, morning bhajan, song, kana song, songs, kanha songs, kahna song, bhajan songs hindi",10,"['adharam madhuram', 'madhuram madhuram song', 'madhurashtakam', 'adharam madhuram song', 'krishna bhajan', 'madhuram madhuram', 'maduram maduram radha krishna song', 'adharam madhuram vadanam madhuram', 'bhajan', 'kanha ji ke bhajan', 'bajan', 'krishna ji ke bhajan', 'bhajan songs', 'भजन', 'kanha bhajan', 'krishna song', 'bhajan krishna', 'bhakti song', 'krishna songs', 'bhajan song', 'bhakti', 'krishna', 'kanha', 'kanha ji', 'kanha song', 'morning bhajan', 'song', 'kana song', 'songs', 'kanha songs', 'kahna song', 'bhajan songs hindi']",2024-10-17T01:30:07Z,31:20,4852135,1570,false,
https://www.youtube.com/watch?v=POuAhkyMb9c&pp=ygUFbXVzaWM%3D,YE TUNE KYA KIYA |slowed & reverb| #songs #lofi #popular ‪@GamerFleet‬,,#songs,"video, sharing, camera phone, video phone, free, upload",22,,2024-09-20T14:23:18Z,5:33,2302487,0,false,
https://www.youtube.com/watch?v=6d5SS0gS5bU&pp=ygUFbXVzaWM%3D,"Tainu Khabar Nahi - Arijit Singh | Munjya | Sharvari, Abhay Verma| Sachin-Jigar,Amitabh Bhattacharya",👉🏻 SUBSCRIBE to Zee Music Company - ,Zee Music Company,"tainu khabar nahi song, munjya, munjya movie songs, tenu khabar nahi, ve maahi tenu khabar nahi, tainu khabar nahin, tainu khabar nahi arijit singh, arijit singh new song, tainu khabar nahi munjya, tere naal preetan laiyan, munjya song, sharvari new song, sharvari wagh songs, sharvari songs, sachin jigar songs, new love song, new romantic song, arijit singh songs, arijit singh latest song, new bollywood song, latest love songs, latest romantic songs, new hindi songs",10,"['tainu khabar nahi song', 'munjya', 'munjya movie songs', 'tenu khabar nahi', 've maahi tenu khabar nahi', 'tainu khabar nahin', 'tainu khabar nahi arijit singh', 'arijit singh new song', 'tainu khabar nahi munjya', 'tere naal preetan laiyan', 'munjya song', 'sharvari new song', 'sharvari wagh songs', 'sharvari songs', 'sachin jigar songs', 'new love song', 'new romantic song', 'arijit singh songs', 'arijit singh latest song', 'new bollywood song', 'latest love songs', 'latest romantic songs', 'new hindi songs']",2024-06-01T14:30:27Z,2:38,106986222,7706,false,
https://www.youtube.com/watch?v=lWJ0aIV6uyI&pp=ygUFbXVzaWM%3D,Best 20 Rabindra Sangeet Collection | সেরা ২০ টি রবীন্দ্রসংগীত | Rabindra Sangeet | Robi Thakur Gaan,Best 20 Rabindra Sangeet Collection | সেরা ২০ টি রবীন্দ্রসংগীত | Rabindra Sangeet | Robi Thakur Gaan| আগুনের পরশমনি ছোঁয়াও | Jakhan Porbe Na Mor Payer Chinha | Best of rabindranath tagore Songs 2024,sudhamoy karmakar,"Rabindra Sangeet, best 20 Rabindra Sangeet, Top 20 Rabindra Sangeet, Best Rabindra Sangeet, Famous Rabindra Sangeet, Bangla Song, Bengali Song, Beautiful Rabindra Sangeet, rabindra sangeet collection, rabindra sangeet song, rabindra sangeet gaan, rabindra sangeet new version, amar hiyar majhe rabindra sangeet, rabindra sangeet bengali, rabindra sangeet bangla song, bangla rabindra sangeet, arijit singh rabindra sangeet, rabindra sangeet status, rabindra sangeet 2022",10,"['Rabindra Sangeet', 'best 20 Rabindra Sangeet', 'Top 20 Rabindra Sangeet', 'Best Rabindra Sangeet', 'Famous Rabindra Sangeet', 'Bangla Song', 'Bengali Song', 'Beautiful Rabindra Sangeet', 'rabindra sangeet collection', 'rabindra sangeet song', 'rabindra sangeet gaan', 'rabindra sangeet new version', 'amar hiyar majhe rabindra sangeet', 'rabindra sangeet bengali', 'rabindra sangeet bangla song', 'bangla rabindra sangeet', 'arijit singh rabindra sangeet', 'rabindra sangeet status', 'rabindra sangeet 2022']",2024-12-16T00:30:23Z,1:04:58,166876,25,false,
https://www.youtube.com/watch?v=kmjeMrjOjFA&pp=ygUFbXVzaWM%3D,"Kratex, Shreyas - Taambdi Chaamdi (Official Music Video)","Kratex, Shreyas - Taambdi Chaamdi is OUT NOW! Stream/Download: ",Spinnin' Records,"Spinnin, Spinnin' Records, Spinnin Records, SpinninTV, spinning, spinnin official, kratex shreyas taambdi chaamdi, kratex shreyas, kratex, shreyas, taambdi chaamdi, kratex taambdi chaamdi, shreyas taambdi chaamdi, official music video, tech house, bass house, spinnin tech house, spinnin bass house, taambdi chaamdi kratex shreyas, taambdi chaamdi kratex, taambdi chaamdi shreyas, kratex spinnin, shreyas spinnin, premiere, youtube premiere",10,"['Spinnin', ""Spinnin' Records"", 'Spinnin Records', 'SpinninTV', 'spinning', 'spinnin official', 'kratex shreyas taambdi chaamdi', 'kratex shreyas', 'kratex', 'shreyas', 'taambdi chaamdi', 'kratex taambdi chaamdi', 'shreyas taambdi chaamdi', 'official music video', 'tech house', 'bass house', 'spinnin tech house', 'spinnin bass house', 'taambdi chaamdi kratex shreyas', 'taambdi chaamdi kratex', 'taambdi chaamdi shreyas', 'kratex spinnin', 'shreyas spinnin', 'premiere', 'youtube premiere']",2024-08-25T16:00:07Z,3:45,22608651,6847,false,
https://www.youtube.com/watch?v=Rd0eCuakmgA&pp=ygUFbXVzaWM%3D,Tyga - Slave (Official Video),"Listen to the single “Slave "". Out Now!
Stream: ",Tyga,"tyga, slave, nsfw, taste, last kings, Britney Spears",10,"['tyga', 'slave', 'nsfw', 'taste', 'last kings', 'Britney Spears']",2024-12-21T19:05:03Z,3:21,374816,693,false,
https://www.youtube.com/watch?v=DEo742BF8eo&pp=ygUFbXVzaWM%3D,Best of Arijit Singh Mashup 2024 | Viniick | Arijit Singh Love Songs | Best of Love Songs 2024,Best of Arijit Singh Mashup 2024 | Viniick | Arijit Singh Love Songs | Best of Love Songs 2024 | Journey of Love Jukebox | Feel The Love Jukebox | Feelings of Love Jukebox | Arijit Singh Songs | Arijit Singh Jukebox | Best of 2023 | Arijt Singh Jukebox | Best of 2023 | Trending songs | Silent Love Mashup | kalank | Ek ladki ko dekha to aisa laga | Saibo | Hawayein | Manwa Lage | Itni si baat hai | Channa ve | Hum Mar Jayenge | Mere Yaara | Hawayein Lofi | Rait Zara Si | ,VINIICK,"mashup, arijit singh, bollywood, 2023 music, arijit singh mashup, love mashup, love songs, Arijit singh jukebox, arijit singh new songs, mashup songs, lofi songs, best of arijit singh mashup, kalank lofi mix, soulful love mashup, bollywood love mashup, deepika paadukon songs, pathhan full movie, ht msuic mashup, alia bhatt songs, arijit singh latest songs, bollywood lofi songs, bollywood love, bollywood vibe, mashup jukebox, sickved, jay guldekar, amtee, parth dodiya, sajni",10,"['mashup', 'arijit singh', 'bollywood', '2023 music', 'arijit singh mashup', 'love mashup', 'love songs', 'Arijit singh jukebox', 'arijit singh new songs', 'mashup songs', 'lofi songs', 'best of arijit singh mashup', 'kalank lofi mix', 'soulful love mashup', 'bollywood love mashup', 'deepika paadukon songs', 'pathhan full movie', 'ht msuic mashup', 'alia bhatt songs', 'arijit singh latest songs', 'bollywood lofi songs', 'bollywood love', 'bollywood vibe', 'mashup jukebox', 'sickved', 'jay guldekar', 'amtee', 'parth dodiya', 'sajni']",2024-08-21T16:30:07Z,47:42,7859368,736,false,
https://www.youtube.com/watch?v=XKNnxZeBqCE&pp=ygUFbXVzaWM%3D,মন মোর মেঘের সঙ্গী | রাঘব চ্যাটার্জী | বর্ষার গান | রবীন্দ্র সঙ্গীত | 2021,"Song Credit
Song name: Mon Mor Megher Songhi
Artist : Raghav Chattopadhyay",Life Stair,"video, sharing, camera phone, video phone, free, upload",22,,2021-05-31T10:03:54Z,4:31,1963844,393,false,
